question,answer,label
Tell me about a time you had to learn something completely new quickly.,"I'm always eager to learn and embrace change as a way to improve. For example, I once had to switch to a new tech stack and picked it up quickly. Tell me about a time you had to learn something completely new quickly.",2
Tell me about a time you had to learn something completely new quickly.,I tried to handle the situation and do my best.,1
Tell me about a time you had to learn something completely new quickly.,I don’t know.,0
Describe a time you handled a difficult situation professionally.,"When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together. Describe a time you handled a difficult situation professionally.",2
Describe a time you handled a difficult situation professionally.,I have some experience with this and managed it reasonably.,1
Describe a time you handled a difficult situation professionally.,I am not sure.,0
Where do you see yourself in 5 years?,My long-term goal is to grow into a senior role where I can contribute more strategically and mentor others. This role brings me closer to that. Where do you see yourself in 5 years?,2
Where do you see yourself in 5 years?,I worked on it and learned something from the experience.,1
Where do you see yourself in 5 years?,I did not handle it.,0
Tell me about a conflict you had with a coworker and how you resolved it.,"When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together. Tell me about a conflict you had with a coworker and how you resolved it.",2
Tell me about a conflict you had with a coworker and how you resolved it.,I tried to handle the situation and do my best.,1
Tell me about a conflict you had with a coworker and how you resolved it.,I don’t know.,0
What skills do you hope to develop in your next role?,My long-term goal is to grow into a senior role where I can contribute more strategically and mentor others. This role brings me closer to that. What skills do you hope to develop in your next role?,2
What skills do you hope to develop in your next role?,I have some experience with this and managed it reasonably.,1
What skills do you hope to develop in your next role?,I am not sure.,0
What's the most significant change you've had to adapt to at work?,"I'm always eager to learn and embrace change as a way to improve. For example, I once had to switch to a new tech stack and picked it up quickly. What's the most significant change you've had to adapt to at work?",2
What's the most significant change you've had to adapt to at work?,I worked on it and learned something from the experience.,1
What's the most significant change you've had to adapt to at work?,I did not handle it.,0
How does this role fit into your career path?,My long-term goal is to grow into a senior role where I can contribute more strategically and mentor others. This role brings me closer to that. How does this role fit into your career path?,2
How does this role fit into your career path?,I tried to handle the situation and do my best.,1
How does this role fit into your career path?,I don’t know.,0
Tell me about a time you worked well within a team.,"I believe communication and mutual respect are key to successful collaboration. In one project, we achieved X because of great teamwork. Tell me about a time you worked well within a team.",2
Tell me about a time you worked well within a team.,I have some experience with this and managed it reasonably.,1
Tell me about a time you worked well within a team.,I am not sure.,0
What are your expectations from leadership in a company?,"I thrive in collaborative, transparent environments where innovation and respect are valued. What are your expectations from leadership in a company?",2
What are your expectations from leadership in a company?,I worked on it and learned something from the experience.,1
What are your expectations from leadership in a company?,I did not handle it.,0
What motivates you to come to work every day?,I'm motivated by challenges and the opportunity to grow both personally and professionally. What motivates you to come to work every day?,2
What motivates you to come to work every day?,I tried to handle the situation and do my best.,1
What motivates you to come to work every day?,I don’t know.,0
Where do you see yourself in 5 years?,My long-term goal is to grow into a senior role where I can contribute more strategically and mentor others. This role brings me closer to that. Where do you see yourself in 5 years?,2
Where do you see yourself in 5 years?,I have some experience with this and managed it reasonably.,1
Where do you see yourself in 5 years?,I am not sure.,0
How do you motivate others in a leadership role?,"I lead by example and encourage open communication and accountability. One time, I led a team through X and we achieved Y. How do you motivate others in a leadership role?",2
How do you motivate others in a leadership role?,I worked on it and learned something from the experience.,1
How do you motivate others in a leadership role?,I did not handle it.,0
What tools or methods help you stay organized?,I follow a structured workflow and use tools like Jira/Trello/Notion to manage my tasks efficiently. What tools or methods help you stay organized?,2
What tools or methods help you stay organized?,I tried to handle the situation and do my best.,1
What tools or methods help you stay organized?,I don’t know.,0
How do you build trust with new teammates?,"I believe communication and mutual respect are key to successful collaboration. In one project, we achieved X because of great teamwork. How do you build trust with new teammates?",2
How do you build trust with new teammates?,I have some experience with this and managed it reasonably.,1
How do you build trust with new teammates?,I am not sure.,0
How do you build trust with new teammates?,"I believe communication and mutual respect are key to successful collaboration. In one project, we achieved X because of great teamwork. How do you build trust with new teammates?",2
How do you build trust with new teammates?,I worked on it and learned something from the experience.,1
How do you build trust with new teammates?,I did not handle it.,0
Describe a time you felt out of place in a workplace culture.,"I thrive in collaborative, transparent environments where innovation and respect are valued. Describe a time you felt out of place in a workplace culture.",2
Describe a time you felt out of place in a workplace culture.,I tried to handle the situation and do my best.,1
Describe a time you felt out of place in a workplace culture.,I don’t know.,0
Do you prefer working independently or in teams? Why?,I follow a structured workflow and use tools like Jira/Trello/Notion to manage my tasks efficiently. Do you prefer working independently or in teams? Why?,2
Do you prefer working independently or in teams? Why?,I have some experience with this and managed it reasonably.,1
Do you prefer working independently or in teams? Why?,I am not sure.,0
What motivates you to come to work every day?,I'm motivated by challenges and the opportunity to grow both personally and professionally. What motivates you to come to work every day?,2
What motivates you to come to work every day?,I worked on it and learned something from the experience.,1
What motivates you to come to work every day?,I did not handle it.,0
Describe a time you led a project or team.,"I lead by example and encourage open communication and accountability. One time, I led a team through X and we achieved Y. Describe a time you led a project or team.",2
Describe a time you led a project or team.,I tried to handle the situation and do my best.,1
Describe a time you led a project or team.,I don’t know.,0
How do you delegate tasks effectively?,"I lead by example and encourage open communication and accountability. One time, I led a team through X and we achieved Y. How do you delegate tasks effectively?",2
How do you delegate tasks effectively?,I have some experience with this and managed it reasonably.,1
How do you delegate tasks effectively?,I am not sure.,0
Where do you see yourself in 5 years?,My long-term goal is to grow into a senior role where I can contribute more strategically and mentor others. This role brings me closer to that. Where do you see yourself in 5 years?,2
Where do you see yourself in 5 years?,I worked on it and learned something from the experience.,1
